100 500
91 45 6
72 85 79
50 69 76
76 0 89
13 24 62
29 93 18
2 80 83
19 65 94
53 76 75
19 92 68
60 15 44
31 80 98
55 37 51
89 46 2
33 83 18
44 51 47
8 24 99
61 3 87
55 20 34
44 77 86
67 19 23
54 83 99
37 89 12
16 83 85
23 87 20
47 57 15
18 68 69
44 26 81
58 32 13
53 65 29
94 39 53
54 57 37
22 12 93
65 98 53
97 92 76
6 66 95
44 45 43
85 82 21
35 85 49
2 18 6
37 52 59
58 95 63
62 91 48
12 97 51
49 87 18
53 10 62
1 14 37
63 61 9
93 87 95
24 35 83
82 17 39
37 64 47
31 56 53
70 17 6
61 96 4
37 63 64
29 71 16
10 43 10
90 61 34
0 75 41
9 80 18
27 17 23
78 40 37
68 9 6
97 39 98
31 33 75
56 27 66
76 91 21
6 80 4
26 98 25
91 72 84
80 39 65
67 39 56
71 43 76
75 11 9
23 68 39
5 82 53
59 81 51
98 27 98
93 38 33
67 24 42
19 95 89
95 73 38
97 86 2
16 62 6
83 34 71
9 99 23
36 7 54
17 24 42
30 13 77
51 28 27
1 56 11
87 21 12
52 27 37
80 53 52
99 39 64
7 29 85
36 1 46
45 84 52
7 0 98
40 7 29
35 95 23
36 9 65
67 13 27
42 23 45
20 17 63
81 82 68
93 15 18
92 30 64
89 87 28
78 5 18
48 76 23
20 10 18
13 70 62
37 39 99
37 25 17
13 2 46
59 20 21
43 30 26
17 43 83
44 28 16
32 40 11
53 4 21
50 53 44
2 7 87
5 69 91
18 45 16
15 44 58
13 71 57
72 60 33
92 57 21
38 27 41
2 28 11
21 90 69
11 16 27
37 13 28
57 19 96
95 17 68
47 35 23
30 57 21
84 18 78
72 50 37
94 92 25
52 80 89
68 71 22
75 13 76
11 17 13
54 64 81
3 67 13
4 49 10
1 26 44
18 8 86
49 29 63
19 81 33
59 87 72
95 91 86
70 31 90
0 92 93
41 99 89
75 24 36
15 76 93
28 88 34
0 98 5
55 63 27
97 91 75
74 57 95
15 97 45
9 39 7
25 93 81
30 90 55
86 26 69
34 60 57
36 28 12
78 48 80
28 41 67
90 95 20
30 49 23
66 33 2
18 89 2
42 97 36
72 23 83
41 75 18
1 19 13
92 80 90
77 90 15
87 31 27
89 58 42
94 65 96
12 48 6
30 31 55
13 53 43
47 38 19
67 98 17
53 73 45
14 87 55
25 56 46
49 31 67
29 41 27
72 55 58
51 13 49
47 0 74
54 48 52
85 63 42
42 7 84
77 22 14
7 38 96
86 15 86
86 22 80
38 68 82
20 49 37
51 11 80
17 39 51
15 4 28
1 97 65
12 21 85
52 33 62
52 51 71
88 17 43
44 50 79
27 55 35
4 19 38
10 82 22
97 11 6
55 81 77
4 18 7
39 35 39
92 43 97
83 24 93
84 25 2
34 84 49
23 80 66
33 64 5
2 30 44
96 64 9
57 49 16
11 38 81
35 4 99
98 43 60
29 51 45
16 54 36
73 71 25
61 93 1
47 5 89
66 29 59
69 81 73
8 51 42
52 21 88
95 50 45
79 44 11
97 28 89
58 53 67
34 51 41
78 27 2
5 6 7
96 59 54
33 59 61
67 48 87
89 71 63
35 25 56
36 32 92
81 17 36
5 28 65
80 87 82
33 40 20
98 20 67
78 24 74
87 36 66
17 1 22
93 6 93
51 15 18
24 89 36
13 58 71
3 85 64
91 98 31
44 70 50
9 4 39
18 66 24
14 26 1
54 34 1
84 29 48
10 61 38
52 78 42
36 37 90
54 91 62
78 44 48
14 48 80
81 52 26
53 15 71
79 80 32
58 57 79
36 57 74
2 56 59
98 68 24
69 98 5
99 28 50
9 40 30
47 84 67
6 45 83
35 22 50
20 62 70
23 72 75
40 47 11
90 85 5
38 65 49
56 67 55
31 72 48
72 91 55
91 20 18
27 10 48
19 36 92
33 54 2
12 77 82
71 4 26
1 31 3
96 29 34
62 54 51
83 50 98
11 30 57
8 32 48
35 26 28
51 22 86
29 78 12
84 19 76
15 5 52
11 12 44
37 44 34
35 19 78
16 55 28
83 28 75
23 3 1
